"filename", "language", "JSON", "PowerShell", "YAML", "Markdown", "Batch", "Go", "Go Checksum File", "JSON with Comments", "Go Module File", "TypeScript", "XML", "Shell Script", "vue", "Objective-C", "HTML", "PostCSS", "Java Properties", "Gradle", "Java", "comment", "blank", "total"
"f:\WorkSpace\Go\Test\CryptoWitch\build\darwin\Taskfile.yml", "YAML", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20, 206
"f:\WorkSpace\Go\Test\CryptoWitch\build\ios\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 53
"f:\WorkSpace\Go\Test\CryptoWitch\build\ios\Taskfile.yml", "YAML", 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 293
"f:\WorkSpace\Go\Test\CryptoWitch\build\ios\app_options_default.go", "Go", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"f:\WorkSpace\Go\Test\CryptoWitch\build\ios\app_options_ios.go", "Go", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 11
"f:\WorkSpace\Go\Test\CryptoWitch\build\ios\build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 11, 12, 72
"f:\WorkSpace\Go\Test\CryptoWitch\build\ios\main.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 4, 23
"f:\WorkSpace\Go\Test\CryptoWitch\build\ios\main_default.go", "Go", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 6
"f:\WorkSpace\Go\Test\CryptoWitch\build\ios\main_ios.go", "Go", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 24
"f:\WorkSpace\Go\Test\CryptoWitch\build\ios\scripts\deps\install_deps.go", "Go", 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 22, 319
